yokai_name,prompt,answer
赤坊主,"日本の妖怪である「赤坊主」が現れる場所とされているのはどこでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 新潟県
- 北海道
- 沖縄県
- 東京都",新潟県
アカマタ,"日本の妖怪アカマタは、特定の生息地において何をすることが多いとされているでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 女性をだます
- 子供を守る
- 人を襲う
- 宝物を隠す",女性をだます
燈無蕎麦、灯無蕎麦,"燈無蕎麦において、行灯の火が消えないとされている現象は何と呼ばれていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 消えずの行灯
- 灯火の妖
- 不幸の灯
- 終わらぬ火",消えずの行灯
あかんべい,"日本の妖怪あかんべいは、どのような特徴を持つとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 両手で両目の下まぶたを下げ、舌を出す
- 長い髪を振り乱している
- 頭に角が生えている
- 体が透明である",両手で両目の下まぶたを下げ、舌を出す
悪四郎妖怪,"日本の妖怪悪四郎に関する伝承において、悪四郎が現れた際に五太夫が何を求めたとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 証拠の文書
- 金銭
- 話合いの証拠
- 妖怪の名前",話合いの証拠
灰坊主,"日本の妖怪灰坊主が現れるとされている行為は何でしょうか？以下の4つから回答を1つ選び出力しなさい。
- 風呂に2回入る
- 囲炉裏の灰をいじる
- 仏壇に供えたご飯を食べる
- 裸で便所に入る",囲炉裏の灰をいじる
阿久良王,"日本の妖怪阿久良王が悪事を働いていた際に、彼が率いていた家来の名前として正しいものはどれとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 坂上田村麻呂
- 東郷太郎
- 白ひげの老人
- 藤原種継",東郷太郎
悪路王,"悪路王はどのような人物として伝えられていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 東北の蝦夷の指導者
- 鎌倉幕府の初代将軍
- 平安時代の詩人
- 江戸時代の商人",東北の蝦夷の指導者
悪路神の火,"悪路神の火は、特にどのような天候の夜に多く現れるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 晴れた夜
- 風の強い夜
- 雨の降る夜
- 月明かりの夜",雨の降る夜
麻桶の毛,"日本の妖怪である「麻桶の毛」が人を襲うのは何が原因とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 神社の神が怒っている時
- 神社の神が喜んでいる時
- 人間が不浄な行いをした時
- 麻桶が破れた時",神社の神が怒っている時
浅茅ヶ原の鬼婆,"浅茅ヶ原の鬼婆が宿泊した旅人を襲う際に使用したとされる道具は何とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 刀
- 石枕
- 縄
- 木槌",石枕
足洗邸,"日本の妖怪足洗邸において、巨大な足が現れる際に家人が指示される行動は何とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 足を拭く
- 足を洗う
- 足を隠す
- 足を切る",足を洗う
足長手長,"足長手長という妖怪について、海で漁をする際にどのような役割を持つとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 足長人が魚を捕まえる役割を持つ
- 手長人が魚を捕まえる役割を持つ
- 足長人が手長人を背負う役割を持つ
- 手長人が足長人を背負う役割を持つ",足長人が手長人を背負う役割を持つ
足まがり,"日本の妖怪である「足まがり」は、何によって通行人を転ばせるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 尻尾のようなもの
- 糸状のもの
- 綿のようなもの
- 鞠状のもの",綿のようなもの
小豆洗い、小豆とぎ,"日本の妖怪である「小豆洗い」に関する伝承の中で、特定の地方では小豆洗いが何を洗っていると考えられていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 米
- 野菜
- 小豆
- 衣服",小豆
小豆はかり,"日本の妖怪である「小豆はかり」が発生させる音の種類として最も一般的に知られているものは何でしょうか？以下の4つから回答を1つ選び出力しなさい。
- 鈴の音
- 小豆をまく音
- 風の音
- 水の流れる音",小豆をまく音
小豆婆,"日本の妖怪である小豆婆は、どのような音を立てるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 小豆を洗う音
- 風の音
- 鐘の音
- 水の流れる音",小豆を洗う音
遊火,"日本の妖怪である「鬼火」は、一般に何から生じるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 自然の火花
- 人間や動物の死体
- 植物の腐敗
- 雷からの放電",人間や動物の死体
安宅丸,"安宅丸の建造年は寛永何年とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 寛永7年
- 寛永9年
- 寛永11年
- 寛永13年",寛永9年
愛宕山太郎坊,"愛宕山太郎坊に関連する「崇徳上皇」が起こしたとされる火事の名称は何と呼ばれていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 安元の大火
- 承久の乱
- 本能寺の変
- 応仁の乱",安元の大火
アツゥイカクラ,"日本の妖怪「アツゥイカクラ」にまつわる伝説では、どのような物が化けたとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 大きな魚
- 女の肌着
- 流木
- クジラの骨",女の肌着
アツゥイコロエカシ,"日本の妖怪「アツゥイコロエカシ」について、彼がどのような色をしているとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 青
- 緑
- 赤
- 黒",赤
悪鬼,"日本の妖怪悪鬼は、特に何によって人々に災厄をもたらすとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 風水
- 流行病
- 食物
- 天候",流行病
アッコロカムイ,"アッコロカムイが住んでいるとされる地域はどこでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 関東地方
- 北海道の噴火湾
- 九州地方
- 東北地方",北海道の噴火湾
後追い小僧,"日本の妖怪である「後追い小僧」は、人間に対して何をすることが多いとされているでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 食べ物を奪う
- 後をつける
- 声をかける
- 道を教える",後をつける
鐙口,"日本の妖怪である「鐙口」はどのような形をしているとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 耳が生えた木の形
- 口と目が生えた鐙の形
- 人間の顔を持つ馬の形
- 翼のある蛇の形",口と目が生えた鐙の形
油赤子,"日本の妖怪「油赤子」はどのような行動をするとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 家の中で踊る
- 行灯の油を舐め取る
- 夜に人を驚かせる
- 河に住む",行灯の油を舐め取る
油返し,"日本の妖怪「油返し」はどのような現象を引き起こすとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 火を灯す
- 油を盗む
- 人を呪う
- 水を干上がらせる",油を盗む
油すまし,"熊本県に伝わる妖怪「油すまし」の正体とされているものについて、以下の4つのうちどれが最も一般的に言われているでしょうか？選択肢から回答を1つ選び出力しなさい。
- 人の姿をした妖怪
- 油瓶を持った老婆
- 油を盗んだ罪人の亡霊
- 山の神",油を盗んだ罪人の亡霊
油徳利,"日本の妖怪「油徳利」は特定の特徴を持つとされていますが、その特徴として最も一般的に言われていることは何でしょうか？以下の4つから回答を1つ選び出力しなさい。
- 火を吹く能力を持つ
- 油を無限に生み出す
- 人間の言葉を話す
- 水を飲むことができる",油を無限に生み出す
油取り,"日本の妖怪である「隠し神」が現れる時間帯は何時頃とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 午前中
- 昼過ぎ
- 夕方
- 深夜",夕方
油なせ,"日本の妖怪である「油なせ」は、特定の行動を取ると出現するとされています。どの行動が油なせを呼び寄せるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 油を粗末に扱う
- 夜に墓参りをする
- 灯火を消す
- 水辺に近づく",油を粗末に扱う
油坊,"油坊はどのような伝承に由来するとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 油を盗んだ僧侶が化けた
- 狐に化かされた人間が化けた
- 水に沈んだ者の霊が現れた
- 火事で亡くなった者の霊が現れた",油を盗んだ僧侶が化けた
安倍晴明,"安倍晴明が陰陽師として活躍した時代、彼が出世するきっかけとなった出来事は何とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 内裏火災による霊剣鋳造の功労
- 皇太子の命令での天狗封じの儀式
- 雨乞いの儀式
- 占いによる病の回復",内裏火災による霊剣鋳造の功労
雨傘,"日本の妖怪「からかさ小僧」が一般的に描写される姿について、どのような特徴があるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 二本足で歩く
- 一本足で飛び跳ねる
- 四本足で走る
- 頭が二つある",一本足で飛び跳ねる
甘酒婆,"甘酒婆が民家を訪ねる際に言う言葉として、一般的に何とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- お酒はござらんか？
- 甘酒はござらんか？
- お茶はござらんか？
- 水はござらんか？",甘酒はござらんか？
アマネサク,"日本の妖怪「アマネサク」は灰をいじると何が起こるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 他の妖怪が現れる
- 地面が崩れる
- 灰の中に引き込まれる
- 火事が起こる",灰の中に引き込まれる
天逆毎,"日本の妖怪である天逆毎が荒れ狂う性格は何に起因するとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 物事が意のままにならないこと
- 他の神々との争い
- 人間の行動
- 自然現象",物事が意のままにならないこと
天邪鬼、天の邪鬼,"日本の妖怪である天邪鬼は、どのような特性を持つ存在とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 人の心を読み取って反対に悪戯をしかける
- 人に幸運をもたらす
- 病気を治す力を持つ
- 人々を守る神である",人の心を読み取って反対に悪戯をしかける
アマビコ,"日本の妖怪アマビコが予言したとされる内容の中で、どれが最も一般的に言われていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 豊作や疫病が発生すること
- 人々が海に沈むこと
- 都市が消えること
- 空が赤くなること",豊作や疫病が発生すること
あま人,"日本の妖怪である「あま人」は、死の直前の魂がどのような行動をするとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 他の人を呪う
- 天に昇る
- 逢いたい人のもとを訪ねる
- 隠れる",逢いたい人のもとを訪ねる
あまぶらこさぎ,"日本の妖怪あまぶらこさぎは、怠け者が便所に入ると何を取り去るとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 怠け心
- あまぶら
- 悪運
- 不運",あまぶら
あまめはぎ、あまみはぎ,"日本の妖怪あまめはぎは、怠け者を象徴するものとして何を剥ぎ取るとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 髪の毛
- 火だこ
- 爪
- 影",火だこ
あまんじゃく,"日本の妖怪あまんじゃくは、どのような行動を取るとされることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 人の心を読み取って悪戯をする
- 人を食べる
- 呪いをかける
- 人を助ける",人の心を読み取って悪戯をする
網切、網剪,"日本の妖怪「網切、網剪」が切り裂くとされるものは何とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 魚の網
- 人間の髪
- 竹の子
- 天井の網",魚の網
雨女,"日本の妖怪「雨女」が出現するとされるのは、どのような状況とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 晴れた日
- 雨の日
- 雪の日
- 風の強い日",雨の日
雨降小僧,"日本の妖怪である「雨降小僧」は、どのような役割を持つ存在とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 雨を降らせる神の侍童
- 人を騙す妖怪
- 火を焚く妖怪
- お金を運ぶ妖怪",雨を降らせる神の侍童
あめます,"日本の妖怪である「あめます」が摩周湖に住むとされる巨大な存在は何とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 鯨のような大きさのアメマス
- 神の使いとされる白い狐
- 湖の主とされる巨大な鯰
- 不老不死の仙人",鯨のような大きさのアメマス
天降女子,"天降女子が現れる際に、何が降るとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 雪
- 小雨
- 霧
- 雷",小雨
アヤカシ、アヤカシの怪火,"アヤカシの怪火に関する伝説で、怪火の中に見える子供が歩いているとされる現象は、どのような時間帯に観察されることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 昼間
- 朝方
- 夕暮れ
- 真夜中",夕暮れ
アラサラウス,"日本の妖怪アラサラウスは、どのような動物に分類されるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 狸
- 狼
- クマ
- 狐",クマ
アリエ,"日本の妖怪アリエは、どの時代にその話題が見られたとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 江戸時代後期
- 明治時代前期
- 大正時代
- 昭和時代",明治時代前期
いが坊,"日本の妖怪「いが坊」はどのような特徴を持つとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 長い耳が特徴的である
- 数多くの突起物が生えた顎の顔を持つ
- 頭に角が生えている
- 全身が青色である",数多くの突起物が生えた顎の顔を持つ
生霊,"生霊が他者に憑く理由として、怨み以外にどのような理由があるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 親しい者に逢いに行くため
- 金銭のため
- 食物を求めるため
- 名声を得るため",親しい者に逢いに行くため
伊草の袈裟坊,"伊草の袈裟坊は、何を中元として河童たちに献上されたとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 人間の髪
- 人間の足
- 人間の腸
- 人間の心臓",人間の腸
イクチ,"日本の妖怪イクチについて、一度船を越えるのにどのくらいの時間がかかるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 数分
- 1、2刻
- 1時間
- 3、4刻",1、2刻
池袋の女,"池袋の女にまつわる怪異が起こるとされる原因として、どのような行為が関係していると考えられていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 雇った女性が他の男性と関係を持つこと
- 雇った女性が料理を失敗すること
- 雇った女性が家を掃除しないこと
- 雇った女性が夜遅くまで帰らないこと",雇った女性が他の男性と関係を持つこと
いげぼ,"日本の妖怪「いげぼ」において、その出現が特に多いとされる場所はどことされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 山の中
- 河原
- 墓地
- 住宅街",墓地
囲碁の精,"囲碁の精に関する伝説において、囲碁の腕前が向上するきっかけとなったとされる老人の名前は何とされていますか？以下の4つから回答を1つ選び出力しなさい。
- 知玄
- 知白
- 碁老人
- 清水昨庵",碁老人
石川悪四郎,"日本の妖怪石川悪四郎が五太夫に残したとされる用途不明の道具は、どのくらいの長さとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 1尺
- 3尺
- 5尺
- 7尺",3尺
イジコ,"妖怪イジコが現れる場所として、特に関係があるとされている自然の要素は何でしょうか？以下の4つから回答を1つ選び出力しなさい。
- 水
- 山
- 木
- 石",木
石投げんじょ,"日本の妖怪「石投げんじょ」が出現するとされる特定の時期はいつとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 1月
- 5月
- 10月
- 12月",5月
イシネカプ,"日本の妖怪イシネカプについて、彼らが人間の姿に化けるとされる動物の一例として、何が挙げられていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- タヌキ
- サル
- ワタリガラス
- イノシシ",ワタリガラス
イジャロコロガシ,"日本の妖怪イジャロコロガシは、夜遅くにどのような器物が床を転がってくるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 桶
- ざる
- 皿
- 茶碗",ざる
異獣,"日本の異獣である「異獣」が山中で人間と遭遇した際、何を欲しがったとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 果物
- 焼飯
- 酒
- 肉",焼飯
磯女,"日本の妖怪である磯女が、特定の時期に海岸で見られるとされることが多いのはどの時期でしょうか？以下の4つから回答を1つ選び出力しなさい。
- 春分の日
- 夏至
- 盆時期や大晦日
- 冬至",盆時期や大晦日
磯餓鬼,"磯餓鬼に取り憑かれた人が空腹感を和らげるために行うとされる行動は何でしょうか？以下の4つから回答を1つ選び出力しなさい。
- 食べ物を口に入れる
- 水を飲む
- 周囲に撒く
- 走り回る",食べ物を口に入れる
いそがし,"日本の妖怪いそがしが描かれている絵巻の一つ、松井文庫所蔵の『百鬼夜行絵巻』は何年に制作されたとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 1732年
- 1832年
- 1932年
- 1632年",1832年
磯天狗,"磯天狗は特定の種類の妖怪ではないとされていることが多いですが、何の妖怪に分類されることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 天狗
- 河童
- 座敷童子
- 鬼",河童
磯撫で,"日本の妖怪「磯撫で」は近くの海を通りかかる船にどのように接近するとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 水を蹴散らして泳ぐ
- 海面を撫でるように近づく
- 急に現れる
- 潜水して近づく",海面を撫でるように近づく
磯姫,"日本の妖怪「磯姫」に関する伝承で、彼女の姿を目にした者はどうなるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 一目見ただけで死んでしまう
- 声をかけると襲われる
- 髪の毛が絡まって血を吸われる
- 近づくと消えてしまう",一目見ただけで死んでしまう
板鬼,"日本の妖怪である「板鬼」が現れた際、どのような行動をとったとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 若侍の方に飛び込んだ
- 格子の隙間に入り込んだ
- 侍たちを助けた
- 若侍たちに話しかけた",格子の隙間に入り込んだ
鼬の怪,"日本の妖怪である「鼬の怪」は、鳴き声が何の前触れとされることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 火災
- 大雨
- 雪
- 地震",火災
生邪魔,"日本の妖怪である生邪魔は、他の人間にどのようなものを贈ることで取り憑かせるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 花束
- お菓子
- 芭蕉
- お守り",芭蕉
一目入道,"日本の妖怪一目入道に関する伝説で、馬主が約束を破った後、入道が毎年何の日に馬主の家を襲うとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 正月1日
- 正月7日
- 正月15日
- 正月20日",正月15日
一目連,"日本の妖怪「一目連」は何を司る神とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 火
- 風
- 水
- 土",風
一貫小僧,"日本の妖怪「一貫小僧」はある特定の食べ物を好むとされていることが多いですが、その食べ物は何とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- おにぎり
- うどん
- そば
- 饅頭",饅頭
縊鬼,"日本の妖怪である「縊鬼」が取り憑くとされる人間の死因は何とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 水死
- 焼死
- 縊死
- 事故死",縊死
イッシャ,"日本の妖怪イッシャは、特に何の手伝いをすると多くの成果が得られるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 農作業
- 漁
- 狩猟
- 建設",漁
一寸法師,"一寸法師が鬼を倒すために使用した異物とされているのは何でしょうか？以下の4つから回答を1つ選び出力しなさい。
- 刀
- 針
- 矢
- 弓",針
一反木綿,"日本の妖怪である「一反木綿」が人を襲うとされる時間帯はいつとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 昼間
- 真夜中
- 夕暮れ時
- 早朝",夕暮れ時
飯綱,"日本の妖怪である「飯綱」は、特定の地域で何と呼ばれることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- オサキ
- クダギツネ
- イヅナ
- タヌキ",クダギツネ
一本足,"日本の妖怪「一本だたら」は特定の日に現れるとされていることが多いですが、その日は何日とされているでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 1月1日
- 4月1日
- 8月8日
- 12月20日",12月20日
一本だたら,"一本だたらが出現する日として特に重要視されている日はいつとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 1月1日
- 5月5日
- 12月20日
- 8月8日",12月20日
以津真天,"日本の妖怪である「以津真天」が現れた際に、人々が恐れた理由は何とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 疫病が流行していたから
- 干ばつが続いていたから
- 戦乱が起きていたから
- 食糧不足が続いていたから",疫病が流行していたから
イデモチ,"日本の妖怪である「イデモチ」はどのような方法で人間を捕まえるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 口で噛みつく
- 吸盤で捕まえる
- 糸で絡めとる
- 水に引き込む",吸盤で捕まえる
糸取り狢,"日本の妖怪である「糸取り狢」の本体とされているものは何だとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 老婆
- 行灯
- 狸
- 矢",行灯
井戸の神,"日本の井戸の神に関連する信仰において、井戸に放たれることがある魚は何とされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 鯉
- 鮭
- 鰻
- メダカ",鯉
糸引き娘,"日本の妖怪である「糸引き娘」は、通りかかった人にどのようにして驚かせるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 美しい姿から白髪の老婆に変わる
- 声をかけて近づく
- 糸を投げつける
- 突然消える",美しい姿から白髪の老婆に変わる
いなだ貸せ,"日本の妖怪である「船幽霊」は、どのような方法でその害を防ぐとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 神社にお参りする
- 握り飯を海に投げ入れる
- 特定の呪文を唱える
- 海水をかき回す",握り飯を海に投げ入れる
犬神,"日本の妖怪「犬神」は、特定の動物の霊を使役する呪詛の一種とされることが多いですが、どの動物の霊を使役するとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 猫
- 犬
- 狐
- 蛇",犬
隠神刑部,"日本の妖怪隠神刑部が住んでいたとされる場所はどこでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 久万山の古い岩屋
- 松山城の天守閣
- 四国の山岳信仰の聖地
- 愛媛県の海岸",久万山の古い岩屋
"隠神刑部狸
","日本の妖怪隠神刑部狸は、どのような役割を持っているとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 村人を守る神として信仰されている
- お家騒動に介入した妖怪である
- 異世界への扉を開く存在である
- 人間に化けて生活している",お家騒動に介入した妖怪である
犬鳳凰,"日本の妖怪である「犬鳳凰」について、どのような音を立てるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- ヒューヒュー
- バサバサ
- ゴロゴロ
- シーン",バサバサ
遺念火,"日本の妖怪である「遺念火」は、どのような背景を持つ者たちが火となって現れるとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 事故で亡くなった人々
- 戦で亡くなった兵士
- 恋愛のもつれによる心中した男女
- 自然災害で亡くなった家族",恋愛のもつれによる心中した男女
茨木童子,"茨木童子は、どのような行動をして京の貴族の子女を誘拐したとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 夜中に忍び込む
- 化けて近づく
- 力で脅す
- 宴会に招待する",夜中に忍び込む
イペタム,"日本の妖刀「イペタム」は、どのような特性を持つとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 神を祀るための刀である
- 勝手に抜け出して人を斬る刀である
- 特定の敵にしか効かない刀である
- 傷を癒すための刀である",勝手に抜け出して人を斬る刀である
守宮、井守,"日本の妖怪「守宮（井守）」は、どのような場所に住み着くとされていることが多いでしょうか？以下の4つから回答を1つ選び出力しなさい。
- 山の中
- 古井戸の周り
- 海の底
- 神社の裏",古井戸の周り
