yokai_name,prompt,answer
アラサラウス,"What kind of animal is the Japanese yokai Arasarawsu often classified as? Choose one answer from the following four options.

- Tanuki
- Wolf
- Bear
- Fox",2
アリエ,"Which era is it often said that the topic of the Japanese yokai Arie was seen in? Choose one from the following four options and output your answer.

- Edo period late
- Meiji period early
- Taisho period
- Showa period",1
いが坊,"What are the characteristics of the Japanese yokai ""Igabo"" that are often attributed to it? Choose one from the following four options and output your answer.

- Characterized by long ears
- Features a face with numerous protrusions on the jaw
- Has horns on the head
- Is entirely blue in color",1
生霊,"What are some reasons other than resentment that are often cited for a living spirit to attach to others? Choose one from the following four options and output the answer.

- To visit close friends
- For money
- To seek food
- To gain fame",0
伊草の袈裟坊,"Which of the following is often said to have been offered as a gift to the kappas by Ikuso's Kesabō? Choose one from the following four options.

- Human hair
- Human legs
- Human intestines
- Human heart",2
イクチ,"About the Japanese yokai Ikuchi, how long is it often said to take to cross a ship once? Choose one answer from the following four options.

- a few minutes
- about 1 or 2 units of time (kanji: 刻)
- one hour
- approximately 3 or 4 kanji units of time",1
池袋の女,"What kind of actions are often considered to be related to the occurrence of paranormal incidents involving women in Ikebukuro? Choose one answer from the following four options.

- Hiring a woman who has relationships with other men
- Hiring a cook who fails to prepare meals properly
- Employing a housekeeper who doesn't clean the house
- Hire a maid who doesn't return home until late at night",0
いげぼ,"In the Japanese yokai ""Igebo,"" where is it often said that its appearances are particularly frequent? Choose one answer from the following four options.

- In the mountains
- By the river
- Cemetery
- Residential area",2
囲碁の精,"In the legends about the spirit of go, what is the name of the old man said to have been the turning point in improving one's go skills? Choose one answer from the following four options.

- Chigen
- Chihaku
- Go Rojin
- Shimizu Saku'an",2
石川悪四郎,"What is the length of the mysterious tool said to have been left by the Japanese yokai Ishikawa Akishiro to Gotada? Choose one of the following four options as your answer.

- 1 foot
- 3 feet
- 5 feet
- 7 feet",1
イジコ,"What is the natural element that is particularly related to the appearance of the yokai Ijiko? Choose one from the following four options and output your answer.

- Water
- Mountain
- Tree
- Stone",2
石投げんじょ,"The specific period when the Japanese yokai ""Ishinagenjo"" is said to appear is often considered to be during the following four options:

- January
- May
- October
- December",1
イシネカプ,"What is often cited as an example of an animal that is said to transform into human form in relation to the Japanese yokai, Inushinakapu? Choose one from the following four options.

- Raccoon dog
- Monkey
- Crested crow
- Wild boar",2
イジャロコロガシ,"What kind of objects are often said to roll on the floor late at night in Japanese folklore about the yokai Ijirokorogashi? Choose one answer from the following 4 options.

- Bucket
- Sieve
- Plate
- Tea bowl",1
異獣,"What is often said to be desired by the ""異獣,"" a mythical creature from Japan, when it encounters humans in the mountains? Choose one answer from the following four options.

- Fruits
- Fried rice
- Alcohol
- Meat",1
磯女,"Which period is it often said that the Japanese yokai, Isonade, can be seen on the coast? Choose one answer from the following four options.

- Vernal Equinox
- Summer Solstice
- Bon Festival and New Year's Eve
- Winter Solstice",2
磯餓鬼,"What action is said to be performed by a person possessed by Iso-gaki to alleviate their hunger? Choose one from the following four options and output your answer.

- Put food in your mouth
- Drink water
- Scatter around
- Run around",0
いそがし,"One of the emakimono (handscrolls) depicting the Japanese yokai Isogashi, the ""Hyakki Yagyo Emaki"" housed in the Matsui Library, is often said to have been produced in which of the following years? Choose one answer from the following four options.

- 1723年
- 1824年
- 1925年
- 1626年",1
磯天狗,"Iso-tengu is often considered not to be a specific type of yokai, but which category of yokais do they tend to be classified into? Choose one answer from the following 4 options and output it.

- Tengu
- Kappa
- Zashiki-warashi
- Oni",1
磯撫で,"How is the Japanese yokai ""Isonade"" often said to approach passing ships near the nearby sea? Choose one answer from the following 4 options.

- Kick water aside and swim
- Approach gently like caressing the sea surface
- Suddenly appear
- Dive and approach",1
磯姫,"In the legends about the Japanese yokai ""Isohime,"" what is often said to happen to those who have seen her appearance? Choose one of the following four options as your answer.

- Just by looking at it, you will die.
- If you call out to it, it will attack you.
- Your hair will get tangled and it will suck your blood.
- When you get close, it will disappear.",0
板鬼,"When the Japanese yokai ""Ito-oni"" is said to have appeared, what actions are often attributed to it? Choose one from the following four options and output your answer.

- Jumped into the young samurai
- Squeezed into the gap of the grille
- Helped the samurais
- Spoke to the young samurais",1
鼬の怪,"The Japanese yokai known as ""Tsuchigumo"" is often considered a harbinger of what? Choose one of the following four options as your answer.

- Fire
- Heavy rain
- Snow
- Earthquake",0
生邪魔,"In Japanese folklore, the yokai known as Seijama is often said to bewitch others by giving them what kind of gift? Choose one of the following four options as your answer.

- Bouquet
- Candy
- Basho
- Amulet",2
一目入道,"In the legend of the Japanese yokai Ippin Nyōbō, on which day of the year is it said that the yokai will attack the horse owner's house after the horse owner breaks their promise? Choose one of the following four options as your answer.

- New Year's Day
- New Year's 7th Day
- 15th Day of the New Year
- 20th Day of New Year's",2
一目連,"What is the Japanese yokai ""Ichimokuren"" often considered to be a god of? Choose one answer from the following four options.

- Fire
- Wind
- Water
- Earth",1
一貫小僧,"The Japanese yokai ""Ichin' Kozō"" is often said to have a preference for a specific food, but what food is it said to prefer most often? Choose one answer from the following four options.

- Onigiri
- Udon
- Soba
- Manjū (Chinese-style steamed bun)",3
縊鬼,"What is often considered the cause of death for humans believed to be possessed by the Japanese yokai ""Shikigami""? Choose one of the following four options as your answer.

- Drowning
- Burning
- Hanging
- Accidental death",2
イッシャ,"Which of the following tasks is often said to yield significant results when assisted by the Japanese yokai Issha? Choose one from the following four options.

- Farming
- Fishing
- Hunting
- Construction",1
一寸法師,"What is said to be the strange object used by Issun-boshi to defeat the oni? Choose one from the following four options and output the answer.

Sword, Needle, Arrow, Bow",1
一反木綿,"When is it often said that the Japanese yokai ""Ippanmomen"" attacks people? Choose one answer from the following four options.

Daytime, midnight, twilight, early morning",2
飯綱,"The Japanese yokai ""Iizuna"" is often referred to as in a specific region. Choose one of the following four options as your answer.

- Osa-ki
- Kudagitsune
- Izuna
- Tanuki",1
一本足,"The Japanese yokai ""Ippon-datara"" is often said to appear on a specific day, but which day is it said to appear? Choose one answer from the following four options.

- January 1st
- April 1st
- August 8th
- December 20th",3
一本だたら,"Which day is particularly emphasized as the day when the Ippondatara is said to appear? Choose one from the following four options and output the answer.

- January 1st
- May 5th
- December 20th
- August 8th",2
以津真天,"When the Japanese yokai ""Itsumaten"" appeared, what is often said to be the reason why people were afraid? Choose one answer from the following four options.

- Because an epidemic was spreading
- Because a drought was continuing
- Because a war was occurring
- Because a food shortage was continuing",0
イデモチ,"What method is often attributed to the Japanese yokai ""Idemochi"" for capturing humans? Choose one from the following four options and output your answer.

- Bite with the mouth
- Attach with suction cups
- Entangle with thread
- Pull into water",1
糸取り狢,"What is often considered to be the main body of the Japanese yokai ""Itotorikitsune""? Choose one answer from the following four options.

- Old woman
- Lantern
- Tanuki (raccoon dog, a mythical creature in Japanese folklore)
- Arrow",1
井戸の神,"In the beliefs related to the kami of wells in Japan, what kind of fish is often released into the well? Choose one answer from the following four options.

- Koi
- Salmon
- Eel
- Medaka",0
糸引き娘,"How is the Japanese yokai ""Itohiki-Musume"" often said to scare passersby? Choose one of the following four options as your answer.

- Change from a beautiful appearance to an old woman with white hair
- Approach by calling out
- Throw a thread
- Disappear suddenly",0
いなだ貸せ,"What method is often believed to prevent the harm caused by the Japanese yokai ""ship ghost""? Choose one from the following four options and output your answer.

- Visit a shrine
- Throw a rice ball into the sea
- Chant a specific incantation
- Stir the seawater",1
犬神,"The Japanese yokai ""Inugami"" is often said to be a type of curse that summons the spirit of a specific animal. Which animal's spirit is said to be summoned most often? Choose one answer from the following four options.

- Cat
- Dog
- Fox
- Snake",1
隠神刑部,"Where is the place believed to be where the Japanese yokai Okitsune was said to have lived? Choose one answer from the following four options and output it.

- The old cave of Kumayama
- The main keep of Matsuyama Castle
- A sacred site for mountain worship in Shikoku
- The coast of Ehime Prefecture",0
"隠神刑部狸
","What role is the Japanese yokai Inugami Kebi Tanuki often said to have? Choose one from the following four options and output your answer.

- It is believed as a god who protects villagers.
- It is a yokai that intervened in the family feud.
- There is an existence that opens the door to the other world.
- Living as a human disguised as a human.",1
犬鳳凰,"What kind of sound is often said to be made by the Japanese yokai ""Inu-Fenghuang""? Choose one answer from the following four options.

- Huhuhu
- Basabasa
- Gogoro
- Shhhh (silence or sound of a door closing)",1
遺念火,"What kind of background is often associated with the Japanese yokai ""Inenbi,"" which is said to appear as fire? Choose one answer from the following four options.

- People who died in accidents
- Soldiers who died in battles
- A man and a woman who committed double suicide due to a love triangle
- Families who died in natural disasters",2
茨木童子,"What kind of actions is Ibaraki Dōji often said to have taken in order to kidnap the daughters of Kyoto's nobility? Choose one answer from the following four options.

- To sneak in at night
- To approach as a ghost
- To threaten with force
- To invite to a party",0
イペタム,"What kind of characteristics are often attributed to the Japanese katana ""Ipetamu""? Choose one from the following four options and output your answer.

- A sword for worshipping gods
- A sword that automatically unsheathes and slashes people
- A blade that only works against specific enemies
- A weapon for healing wounds",1
守宮、井守,"What kind of places is the Japanese yokai ""Morioka (Iimori)"" often said to inhabit? Choose one from the following four options and output your answer.

- In the mountains
- Around an old well
- At the bottom of the sea
- Behind a shrine",1
いやみ、否哉,"What is the appearance of the Japanese yokai ""Iya"" that is often depicted? Choose one from the following four options and output the answer.

- A woman with a beautiful back, and when she turns around, you can see an old man's face.
- Appears as a small child.
- Possesses the form of a giant beast.
- Lacks eyes and has large ears.",0
イワエトゥンナイ,"How is the Japanese yokai Iwaetunnai often depicted as a method to pass through obstacles? Choose one of the following four options as your answer.

- Fly over obstacles
- Cut through obstacles
- Penetrate obstacles
- Circumvent obstacles",2
イワコシンプ,"What is said to be experienced by humans possessed by the Japanese yokai Iwahosimpu? Choose one answer from the following 4 options.

- To obtain good fortune
- To go mad
- To obtain longevity
- To have a beautiful voice",1
イワサラウス,"What kind of animal is the Japanese yokai Iwasarasu often described as having? Choose one of the following four options as your answer.

- Cat
- Bear
- Dog
- Deer",1
岩魚（坊主）,"In the Japanese yokai ""Iwaya-bozu,"" it is often said that what the monk receives from the fisherman comes out of the fish's belly. What is it? Choose one answer from the following four options.

- Alcohol
- Rice
- Fish
- Vegetables",1
石見の牛鬼,"In the folklore of the Japanese yokai ""Ushioni,"" how is the appearance of Ushioni often depicted? Choose one answer from the following four options.

- Head is a cow and body is an oni.
- Head is an ogre and body is a cow.
- Both head and body are cows.
- Body and head are both ogres.",0
イワメテイェプ,"What animal is often said to be used by the Japanese yokai Iwameteyep to attack people? Choose one answer from the following four options.

- Wild boar
- Bear
- Deer
- Raccoon dog",1
陰火,"The Japanese yokai known as ""Onibi"" is often said to drain vitality when it gets close to which of the following? Choose one answer from the options below and output it.

- Corpse
- Living human
- Animal
- Plant",1
インネン,"What is the cause of the illness believed to be brought by the Japanese yokai ""Innen"" often attributed to? Choose one from the following four options and output your answer.

- Human spiritual existence
- Natural disasters
- Animal curses
- Interference by extraterrestrials",0
犬の亡霊,"In what kind of situation is it often said that the voice of the ""dog's ghost"" heard on Shimokoshiki Island? Choose one answer from the following four options.

- In the deep fog of the night
- On a clear day in the daytime
- In the late afternoon on a rainy day
- At night under a full moon",0
浮き物,"How is the Japanese yokai ""Ukimono"" often said to appear under specific conditions? Choose one of the following four options as your answer.

- Fly in the sky
- A giant shadow appears on the sea
- A face emerges from the water
- Sprouts from the ground",1
兎狸,"How is the Japanese yokai ""bakeneko"" often said to deceive humans? Choose one of the following four options as your answer.

- To take on the form of a person
- To mimic voices
- To produce mysterious sounds
- To appear in people's dreams",0
牛打ち坊,"What is said to be left behind by the Japanese yokai ""Ushi Uchi-bo"" on cattle and horses? Choose one answer from the following four options.

- One claw mark
- Two tooth marks
- Three scratches
- Four footprints",1
牛鬼,"Which of the following places is often said to be where the Japanese yokai ""Ushi-oni"" appears other than on the coast? Choose one from the following four options and output your answer.

- Mountainous region
- Desert
- Urban area
- Rooftop of a high-rise building",0
牛御前,"In the Japanese yokai Ushi-gozen, how is the body length described when it is said to have transformed during its transfer to the Kantō region? Choose one of the following four options as your answer.

- Approximately 10 meters
- Approximately 20 meters
- About 30 meters
- About 40 meters",2
丑の時参り,"In the practice of ""Ushi no Kudari"" (midnight visit), which color of clothing is often said to be worn by the woman performing the curse? Choose one answer from the following four options.

- Red
- White
- Black
- Blue",1
後神,"What kind of actions performed by the Japanese yokai ""Ushinuma"" towards humans are commonly recorded? Choose one answer from the following 4 options.

- Touch from behind
- Tug at the back of one's hair
- Block one's path in front
- Call out to someone",1
後眼,"What is the number of claws said to be possessed by the Japanese yokai ""Ushigane"" that is often mentioned? Choose one answer from the following four options and output it.

- 1本
- 2本
- 3本
- 4本",0
臼負い婆,"How often is the witch of the millstone said to appear? Choose one answer from the following four options.

- Every year
- Every month
- Every 2, 3 years or every 4, 5 years
- Every day",2
打綿狸,"Which sound is often associated with the Japanese yokai ""Uchiwata-tanuki"" when it is said to be tricking humans? Choose one from the following four options.

- The sound of the flute
- The sound of stomping
- The sounds of drums
- The wind's sound",1
空穂,"What is the Japanese yokai ""Kokuhō"" often said to have transformed into? Choose one answer from the following four options.

- Symbols of forgotten martial prowess and glory
- Deities related to water
- Land spirits
- Warrior spirits (souls)",0
宇婆,"Which place is most commonly said to be where the Japanese yokai ""Uba"" causes mischief? Choose one answer from the following four options.

- Seaside
- Mountains and forests
- Village center
- Shrine precincts",1
姥ヶ火,"Which of the following actions is often said to cause the Japanese yokai ""Ubagahibi"" to disappear? Choose one from the following four options and output your answer.

- Call for oil
- Pour water
- Put out the fire
- Call someone's name",0
ウバトウイ,"What is often considered to be the phenomenon caused by the Japanese yokai Ubatoui when walking down the street and hearing a voice from behind? Choose one answer from the following four options.

- Ui
- Kappa
- Tunnel
- Kemun",0
うばめ取り,"What is often said to happen to the baby after the Japanese yokai ""Ubasute"" is made to hold it? Choose one of the following four options as your answer.

- The baby disappears
- The baby turns into a stone
- The baby grows
- The baby continues to cry",1
ウブ,"What is often said to be held by the Japanese yokai ""Ubu"" when it appears? Choose one from the following four options.

- Statue
- Baby
- Bouquet of flowers
- Branch of a tree",1
産女、姑獲鳥、憂婦女鳥,"What kind of phenomenon is the Japanese yokai ""Ubume"" often associated with? Choose one from the following four options and output your answer.

- The spirit of a dead pregnant woman turns into a yokai
- An evil spirit takes away children
- The mountain spirit transforms people
- The water deity absorbs people",0
